State,County,Soil_Texture,Soil_pH,Organic_Matter(%),Soil_Depth(cm),Drainage_Class
ALABAMA,OTHER COUNTIES,Silt,6.15,2.74,125,Well Drained
ALABAMA,DALLAS,Sandy Loam,6.62,2.58,50,Well Drained
ALABAMA,ELMORE,Loam,5.73,3.68,100,Poorly Drained
ALABAMA,MACON,Silt,6.25,4.57,50,Well Drained
ALABAMA,MARENGO,Silt,5.52,2.22,100,Poorly Drained
ALABAMA,PERRY,Sandy Loam,7.14,3.21,100,Poorly Drained
ALABAMA,BALDWIN,Loam,5.76,4.16,125,Moderately Drained
ALABAMA,ESCAMBIA,Loam,6.07,2.66,125,Well Drained
ALABAMA,MONROE,Silt,5.54,1.67,100,Poorly Drained
ALABAMA,BLOUNT,Clay,6.36,2.9,100,Well Drained
ALABAMA,CALHOUN,Silt,7.18,1.22,100,Moderately Drained
ALABAMA,CHEROKEE,Silt,6.28,4.77,125,Moderately Drained
ALABAMA,CULLMAN,Silt,5.86,1.3,125,Well Drained
ALABAMA,DE KALB,Silt,7.01,2.75,75,Well Drained
ALABAMA,ETOWAH,Sandy Loam,7.08,3.12,100,Poorly Drained
ALABAMA,JACKSON,Loam,5.85,4.94,75,Moderately Drained
ALABAMA,MARSHALL,Sandy Loam,7.04,1.66,100,Moderately Drained
ALABAMA,COLBERT,Sandy Loam,7.39,1.46,125,Moderately Drained
ALABAMA,FRANKLIN,Sandy Loam,5.83,1.03,75,Well Drained
ALABAMA,LAUDERDALE,Silt,7.04,1.62,75,Poorly Drained
ALABAMA,LAWRENCE,Clay,6.92,1.83,50,Well Drained
ALABAMA,LIMESTONE,Loam,6.45,3.52,100,Well Drained
ALABAMA,MADISON,Clay,5.62,1.88,125,Well Drained
ALABAMA,MARION,Sandy Loam,5.65,1.08,50,Poorly Drained
ALABAMA,MORGAN,Sandy Loam,7.2,4.31,50,Well Drained
ALABAMA,CHILTON,Clay,7.48,2.46,100,Moderately Drained
ALABAMA,FAYETTE,Clay,6.85,2.41,50,Moderately Drained
ALABAMA,RANDOLPH,Clay,6.39,2.21,100,Moderately Drained
ALABAMA,TALLADEGA,Sandy Loam,6.8,4.9,50,Poorly Drained
ALABAMA,TUSCALOOSA,Sandy Loam,6.69,1.68,100,Well Drained
ALABAMA,BARBOUR,Loam,6.27,4.59,125,Poorly Drained
ALABAMA,COFFEE,Loam,5.63,4.11,100,Well Drained
ALABAMA,COVINGTON,Sandy Loam,7.14,1.31,100,Moderately Drained
ALABAMA,DALE,Clay,6.24,4.95,75,Well Drained
ALABAMA,GENEVA,Clay,7.14,2.09,125,Well Drained
ALABAMA,HENRY,Loam,6.01,1.39,125,Well Drained
ALABAMA,HOUSTON,Sandy Loam,5.5,4.32,125,Poorly Drained
ALABAMA,PIKE,Loam,5.82,3.83,50,Well Drained
ARKANSAS,OTHER COUNTIES,Loam,6.44,3.47,75,Well Drained
ARKANSAS,ARKANSAS,Silt,7.39,1.62,125,Well Drained
ARKANSAS,CRITTENDEN,Silt,5.7,2.91,50,Poorly Drained
ARKANSAS,CROSS,Silt,7.21,4.12,50,Poorly Drained
ARKANSAS,LEE,Clay,6.55,2.21,50,Poorly Drained
ARKANSAS,LONOKE,Sandy Loam,7.15,2.25,75,Well Drained
ARKANSAS,MONROE,Sandy Loam,6.1,1.01,50,Moderately Drained
ARKANSAS,PHILLIPS,Sandy Loam,7.18,1.7,75,Moderately Drained
ARKANSAS,PRAIRIE,Sandy Loam,7.05,4.5,100,Moderately Drained
ARKANSAS,SAINT FRANCIS,Silt,5.96,2.77,50,Well Drained
ARKANSAS,WOODRUFF,Clay,5.76,4.94,125,Moderately Drained
ARKANSAS,CLAY,Clay,7.24,2.58,50,Moderately Drained
ARKANSAS,GREENE,Silt,7.43,3.86,100,Moderately Drained
ARKANSAS,JACKSON,Clay,5.56,2.13,100,Well Drained
ARKANSAS,MISSISSIPPI,Silt,6.96,2.46,50,Moderately Drained
ARKANSAS,POINSETT,Sandy Loam,7.32,1.76,100,Moderately Drained
ARKANSAS,WHITE,Silt,7.21,2.39,75,Well Drained
ARKANSAS,ASHLEY,Sandy Loam,7.43,3.19,75,Poorly Drained
ARKANSAS,CHICOT,Sandy Loam,7.02,4.97,50,Moderately Drained
ARKANSAS,DESHA,Loam,6.38,3.66,75,Poorly Drained
ARKANSAS,DREW,Silt,6.12,1.8,75,Moderately Drained
ARKANSAS,JEFFERSON,Loam,6.14,1.18,125,Well Drained
ARKANSAS,LINCOLN,Silt,6.95,1.51,50,Poorly Drained
ARKANSAS,YELL,Silt,6.99,3.25,100,Poorly Drained
CALIFORNIA,OTHER COUNTIES,Loam,5.9,4.06,50,Poorly Drained
CALIFORNIA,COLUSA,Loam,7.24,4.76,75,Poorly Drained
CALIFORNIA,GLENN,Silt,6.93,1.06,125,Moderately Drained
CALIFORNIA,SACRAMENTO,Clay,6.63,3.09,50,Moderately Drained
CALIFORNIA,YOLO,Sandy Loam,6.44,2.88,50,Poorly Drained
CALIFORNIA,SAN JOAQUIN,Loam,6.59,3.62,75,Moderately Drained
COLORADO,OTHER COUNTIES,Sandy Loam,5.82,3.24,75,Poorly Drained
COLORADO,ELBERT,Clay,5.91,3.75,50,Poorly Drained
COLORADO,KIOWA,Clay,5.68,3.63,75,Well Drained
COLORADO,KIT CARSON,Clay,5.81,1.47,75,Poorly Drained
COLORADO,PHILLIPS,Loam,6.41,4.2,75,Moderately Drained
COLORADO,WASHINGTON,Clay,6.56,1.49,75,Poorly Drained
COLORADO,YUMA,Loam,5.54,3.79,75,Well Drained
