"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2023","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","COTTON - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","0.8",""
"SURVEY","2022","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","COTTON - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","0.891",""
"SURVEY","2021","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","COTTON - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","0.947",""
"SURVEY","2020","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","COTTON - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","0.689",""
"SURVEY","2019","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","COTTON - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","0.623",""
"SURVEY","2018","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","COTTON - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","0.723",""
"SURVEY","2017","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","COTTON - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","0.719",""
"SURVEY","2016","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","COTTON - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","0.705",""
"SURVEY","2015","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","COTTON - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","0.645",""
"SURVEY","2014","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","COTTON - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","0.657",""
"SURVEY","2013","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","COTTON - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","0.838",""
"SURVEY","2012","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","COTTON - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","0.757",""
"SURVEY","2011","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","COTTON - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","0.935",""
"SURVEY","2010","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","COTTON - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","0.846",""
