"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2024","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","RICE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","16.7",""
"SURVEY","2023","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","RICE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","19.3",""
"SURVEY","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","RICE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","17.8",""
"SURVEY","2021","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","RICE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","RICE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","14.2",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","RICE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","12.6",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","RICE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","13.1",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","RICE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","11.2",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","RICE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","11.5",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","RICE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","12.5",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","RICE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","15.6",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","RICE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","15.7",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","RICE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","14.5",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","RICE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","13.7",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","RICE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","13.2",""
