"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2023","YEAR","","COUNTY","ALABAMA","01","","99","OTHER COUNTIES","","","","00000000","","COTTON","COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","931","2.1"
"SURVEY","2023","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","DALLAS","047","","","00000000","","COTTON","COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","556","5.9"
"SURVEY","2023","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","ELMORE","051","","","00000000","","COTTON","COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","740","5.8"
"SURVEY","2023","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MACON","087","","","00000000","","COTTON","COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","957","6.6"
"SURVEY","2023","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MARENGO","091","","","00000000","","COTTON","COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","662","8.3"
"SURVEY","2023","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BALDWIN","003","","","00000000","","COTTON","COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","797","10.4"
"SURVEY","2023","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","ESCAMBIA","053","","","00000000","","COTTON","COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","610","5.4"
"SURVEY","2023","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","MOBILE","097","","","00000000","","COTTON","COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","699","10.6"
"SURVEY","2023","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","MONROE","099","","","00000000","","COTTON","COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","502","5.4"
"SURVEY","2023","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CALHOUN","015","","","00000000","","COTTON","COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,298","7.5"
"SURVEY","2023","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CHEROKEE","019","","","00000000","","COTTON","COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,197","9.5"
"SURVEY","2023","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","DE KALB","049","","","00000000","","COTTON","COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,233","5.2"
"SURVEY","2023","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","ETOWAH","055","","","00000000","","COTTON","COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,123","7.7"
"SURVEY","2023","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","COLBERT","033","","","00000000","","COTTON","COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,248","9.0"
"SURVEY","2023","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","LAUDERDALE","077","","","00000000","","COTTON","COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,387","5.7"
"SURVEY","2023","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","LAWRENCE","079","","","00000000","","COTTON","COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,336","5.4"
"SURVEY","2023","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","LIMESTONE","083","","","00000000","","COTTON","COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,430","3.1"
"SURVEY","2023","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","MADISON","089","","","00000000","","COTTON","COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,283","4.4"
